Date,SPY,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,META,BRK-B,UNH,JNJ
2019-01-02,250.17999267578125,39.47999954223633,101.12000274658203,52.73400115966797,76.95649719238281,20.674667358398438,34.05500030517578,135.67999267578125,202.8000030517578,243.49000549316406,127.75
2019-01-03,244.2100067138672,35.54750061035156,97.4000015258789,51.27349853515625,75.01399993896484,20.02400016784668,31.997499465942383,131.74000549316406,191.66000366210938,236.85000610351562,125.72000122070312
2019-01-04,252.38999938964844,37.064998626708984,101.93000030517578,53.903499603271484,78.76950073242188,21.179332733154297,34.04750061035156,137.9499969482422,195.1999969482422,239.6199951171875,127.83000183105469
2019-01-07,254.3800048828125,36.98249816894531,102.05999755859375,53.79600143432617,81.47550201416016,22.33066749572754,35.849998474121094,138.0500030517578,196.91000366210938,240.0800018310547,127.01000213623047
2019-01-08,256.7699890136719,37.6875,102.80000305175781,54.26850128173828,82.8290023803711,22.356666564941406,34.95750045776367,142.52999877929688,196.30999755859375,243.2899932861328,129.9600067138672
2019-01-09,257.9700012207031,38.32749938964844,104.2699966430664,54.08250045776367,82.97100067138672,22.568666458129883,35.64500045776367,144.22999572753906,196.3699951171875,243.63999938964844,128.92999267578125
2019-01-10,258.8800048828125,38.45000076293945,103.5999984741211,53.94150161743164,82.81099700927734,22.99799919128418,36.307498931884766,144.1999969482422,196.5800018310547,244.8699951171875,129.7100067138672
2019-01-11,258.9800109863281,38.0724983215332,102.80000305175781,53.2234992980957,82.02799987792969,23.150667190551758,37.20750045776367,143.8000030517578,196.2899932861328,247.6699981689453,129.75
2019-01-14,257.3999938964844,37.5,102.05000305175781,52.57550048828125,80.8604965209961,22.293333053588867,37.61000061035156,145.38999938964844,195.77999877929688,248.05999755859375,128.27999877929688
2019-01-15,260.3500061035156,38.26750183105469,105.01000213623047,54.32550048828125,83.72799682617188,22.961999893188477,37.467498779296875,148.9499969482422,196.94000244140625,256.8699951171875,129.36000061035156
2019-01-16,260.9800109863281,38.73500061035156,105.37999725341797,54.47549819946289,84.18900299072266,23.06999969482422,37.209999084472656,147.5399932861328,198.41000366210938,261.4599914550781,128.0399932861328
2019-01-17,262.9599914550781,38.96500015258789,106.12000274658203,54.95600128173828,84.66100311279297,23.15399932861328,37.93000030517578,148.3000030517578,198.77999877929688,259.7699890136719,129.08999633789062
2019-01-18,266.4599914550781,39.20500183105469,107.70999908447266,55.3650016784668,84.80999755859375,20.150667190551758,39.23249816894531,150.0399932861328,204.47999572753906,265.5,130.69000244140625
2019-01-22,262.8599853515625,38.32500076293945,105.68000030517578,53.93149948120117,81.6084976196289,19.92799949645996,37.192501068115234,147.57000732421875,200.72000122070312,265.69000244140625,128.8000030517578
2019-01-23,263.4100036621094,38.47999954223633,106.70999908447266,54.22050094604492,82.0009994506836,19.172666549682617,37.3224983215332,144.3000030517578,201.14999389648438,267.0199890136719,128.8000030517578
2019-01-24,263.54998779296875,38.17499923706055,106.19999694824219,54.20000076293945,82.74649810791016,19.43400001525879,39.459999084472656,145.8300018310547,201.02000427246094,266.1300048828125,127.02999877929688
2019-01-25,265.7799987792969,39.439998626708984,107.16999816894531,55.07550048828125,83.52850341796875,19.80266761779785,40.037498474121094,149.00999450683594,202.75,268.04998779296875,128.22999572753906
2019-01-28,263.760009765625,39.07500076293945,105.08000183105469,53.99300003051758,81.89450073242188,19.7586669921875,34.502498626708984,147.47000122070312,200.9499969482422,266.7699890136719,128.99000549316406
2019-01-29,263.4100036621094,38.66999816894531,102.94000244140625,53.50299835205078,79.69400024414062,19.83066749572754,32.900001525878906,144.19000244140625,202.0500030517578,267.3399963378906,130.3300018310547
2019-01-30,267.5799865722656,41.3125,106.37999725341797,54.89950180053711,83.52149963378906,20.584667205810547,34.34749984741211,150.4199981689453,205.9600067138672,270.3699951171875,131.63999938964844
2019-01-31,269.92999267578125,41.61000061035156,104.43000030517578,56.294498443603516,85.9365005493164,20.468000411987305,35.9375,166.69000244140625,205.5399932861328,270.20001220703125,133.0800018310547
2019-02-01,270.05999755859375,41.630001068115234,102.77999877929688,55.930999755859375,81.3115005493164,20.81399917602539,36.182498931884766,165.7100067138672,209.19000244140625,268.7200012207031,134.1999969482422
2019-02-04,271.9599914550781,42.8125,105.73999786376953,57.07099914550781,81.66549682617188,20.859333038330078,37.29499816894531,169.25,208.52000427246094,268.2099914550781,132.8800048828125
2019-02-05,273.1000061035156,43.54499816894531,107.22000122070312,57.59349822998047,82.94049835205078,21.42333221435547,37.48749923706055,171.16000366210938,207.82000732421875,266.30999755859375,132.8800048828125
2019-02-06,272.739990234375,43.560001373291016,106.02999877929688,56.144500732421875,82.01300048828125,21.148000717163086,38.25,170.49000549316406,206.00999450683594,269.5,133.0
2019-02-07,270.1400146484375,42.73500061035156,105.2699966430664,55.295501708984375,80.71849822998047,20.500667572021484,36.85499954223633,166.3800048828125,201.72999572753906,269.0,132.0500030517578
2019-02-08,270.4700012207031,42.602500915527344,105.66999816894531,55.11899948120117,79.41100311279297,20.386667251586914,37.04249954223633,167.3300018310547,200.9199981689453,261.8999938964844,132.39999389648438
2019-02-11,270.6199951171875,42.35749816894531,105.25,55.10599899291992,79.55000305175781,20.856000900268555,36.61249923706055,165.7899932861328,203.0500030517578,257.1400146484375,132.0
2019-02-12,274.1000061035156,42.72249984741211,106.88999938964844,56.37900161743164,81.90049743652344,20.78733253479004,37.79249954223633,165.0399932861328,206.14999389648438,263.5,134.16000366210938
